,Timestamp,Tweet
77,2019-04-13 14:36:00,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
78,2019-04-13 14:35:57,Tay is actually Thanos wth 😂
79,2019-04-13 14:35:56,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
80,2019-04-13 14:35:54,"RT @deanslafitte: antman: hey thanos spell ‘me’

thanos: m-e

antman: you forgot the ‘u’

thanos: there is no ‘u’ in me-

antman, shrinking…"
81,2019-04-13 14:35:53,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
82,2019-04-13 14:35:52,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
83,2019-04-13 14:35:50,@SmithAangdu Who does not know Thanos😏
84,2019-04-13 14:35:48,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
85,2019-04-13 14:35:48,"RT @deanslafitte: antman: hey thanos spell ‘me’

thanos: m-e

antman: you forgot the ‘u’

thanos: there is no ‘u’ in me-

antman, shrinking…"
86,2019-04-13 14:35:47,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
87,2019-04-13 14:35:46,RT @Vistor92: Taylor viene a vencer a Thanos https://t.co/jiSjOy7xDX
88,2019-04-13 14:35:43,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
89,2019-04-13 14:35:38,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
90,2019-04-13 14:35:36,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
91,2019-04-13 14:35:35,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
92,2019-04-13 14:35:34,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
93,2019-04-13 14:35:29,RT @Marvel_FFightUS: We won't let Thanos' crimes go unanswered. There will be a Legendary Battle to avenge all those lost. #MARVELFutureFig…
94,2019-04-13 14:35:28,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
95,2019-04-13 14:35:22,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
96,2019-04-13 14:35:22,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
97,2019-04-13 14:35:21,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
98,2019-04-13 14:35:21,"@Nohri_ Hopefully this will sell more copies, at the cost of Monolithsoft's income

In continuance with the Thanos… https://t.co/MMCSn33uXA"
99,2019-04-13 14:35:21,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
